user_id,name,email,parent_email,password,class,roll_no,department,semester,created_at,phone,face_registered
STU001,jancy,jancyranijesus2001@gmail.com,tamilindira1997@gmail.com,6dd03e120290cef9327dc50843a18d521e6c474336aa635c9f897a68284624fd,ECE-B,101,Electronics Engineering,3,2026-01-20 00:11:09,6374127709,False
STU002,JAISHREE S R,jaishree.2411025@srec.ac.in,aksharaa.2411008@srec.ac.in,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,,102,Computer Science,3,2026-01-20 15:31:45,6384677673,False
STU003,AKSHARAA A K,aksharaa.2411008@srec.ac.in,akshu28102006@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,AI&DS-A,103,Computer Science,3,2026-02-03 10:07:32,7550005665,False
STU004,MADDHURIKA,maddhurika.2411033@srec.ac.in,maddhurika.b@gmail.com,bffe0a3071e896a5c1053f69fba51557b756aa25e58c03d2b3a02dd8d6d2a9c4,AI&DS-A,104,Computer Science,3,2026-02-03 10:10:56,9894721772,False
STU008,Abhishek A,abhishekparker.24110002@srec.ac.in,abcd@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CS-B,718124110002,Computer Science,3,2026-02-03 19:20:18,9047064414,False
STU009,Prisha Singh,prisha.singh9@srec.ac.in,parent.prisha9@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE101,Computer Science,1,2026-02-03 19:41:11,9792233574,False
STU010,Ishaan Verma,ishaan.verma10@srec.ac.in,parent.ishaan10@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE102,Computer Science,1,2026-02-03 19:41:11,9874101228,False
STU011,Ishaan Mehta,ishaan.mehta11@srec.ac.in,parent.ishaan11@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE103,Computer Science,1,2026-02-03 19:41:11,9813125251,False
STU012,Krishna Patel,krishna.patel12@srec.ac.in,parent.krishna12@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE104,Computer Science,5,2026-02-03 19:41:11,9155656045,False
STU013,Ayan Sharma,ayan.sharma13@srec.ac.in,parent.ayan13@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE105,Computer Science,5,2026-02-03 19:41:11,9335533444,False
STU014,Diya Shah,diya.shah14@srec.ac.in,parent.diya14@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CSE-A,CSE106,Computer Science,3,2026-02-03 19:41:11,9420143139,False
